budget,genres,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,director,release_year,Year,budget_adjusted,revenue_adjusted
10000000.0,Drama Fantasy Horror Science-Fiction Thriller,15301,en,12.902975,1983-06-24,29450919.0,101.0,Twilight Zone: The Movie,6.2,161,Steven Spielberg,1983,1983,23389257.02811245,68883511.42051205
10000000.0,Horror Science-Fiction Thriller,11336,en,16.78512,1983-10-21,20766616.0,103.0,The Dead Zone,6.9,311,David Cronenberg,1983,1983,23389257.02811245,48571571.92281124
10000000.0,Horror,283445,en,26.090495,2015-08-19,52882018.0,97.0,Sinister 2,5.4,581,Ciaran Foy,2015,2015,9828704.270157836,51976171.613116354
11000000.0,Action Horror,9362,en,32.579697,1990-01-19,48572000.0,96.0,Tremors,6.6,864,Ron Underwood,1990,1990,19606174.44529457,86573736.83244072
12600000.0,Horror Thriller,9902,en,33.555764,2003-05-30,28650575.0,84.0,Wrong Turn,6.0,635,Rob Schmidt,2003,2003,15952490.217391303,36273652.1754076
10000000.0,Crime Mystery Horror Thriller,11507,en,9.525626,1984-10-25,8801940.0,114.0,Body Double,6.4,137,Brian De Palma,1984,1984,22421270.452358034,19735067.72454283
10000000.0,Horror Thriller,329440,en,19.865989,2016-01-07,40055439.0,95.0,The Forest,4.8,448,Jason Zada,2016,2016,9706258.567458449,38878844.79670593
10.0,Horror Thriller,78383,en,10.013629,2013-09-28,10000000.0,99.0,Nurse 3-D,4.9,119,Douglas Aarniokoski,2013,2013,10.0,10000000.0
10500000.0,Horror Thriller,10306,en,11.225044,1988-06-10,14144000.0,98.0,Poltergeist III,4.5,123,Gary Sherman,1988,1988,20676656.804733727,27852441.31868132
11000000.0,Horror Action Thriller Science-Fiction,348,en,94.184658,1979-05-25,104931801.0,117.0,Alien,7.9,4470,Ridley Scott,1979,1979,35296515.151515156,336702445.8065703
85000.0,Horror,30497,en,29.262427,1974-10-01,30859000.0,83.0,The Texas Chain Saw Massacre,7.2,590,Tobe Hooper,1974,1974,401650.0,145817851.1764706
9000000.0,Horror Thriller,10585,en,27.600843,1988-11-08,44196684.0,87.0,Child's Play,6.3,581,Tom Holland,1988,1988,17722848.689771768,87032349.23573965
9000000.0,Horror Thriller,238636,en,82.975841,2014-07-17,108782847.0,104.0,The Purge: Anarchy,6.6,1954,James DeMonaco,2014,2014,8856333.637469586,107046354.11842306
9000000.0,Horror Thriller,9656,en,4.134327,2006-12-25,21510851.0,84.0,Black Christmas,4.8,119,Glen Morgan,2006,2006,10399866.071428573,24856663.275828373
8500000.0,Horror Comedy,1547,en,24.750909,1987-07-31,32222567.0,97.0,The Lost Boys,6.8,538,Joel Schumacher,1987,1987,17430761.443661973,66078103.350519374
8500000.0,Comedy Horror,11217,en,2.62082,2004-02-27,5001655.0,104.0,Club Dread,5.1,107,Jay Chandrasekhar,2004,2004,10482448.385389093,6168187.103414505
5000000.0,Horror Thriller Science-Fiction,170,en,45.490374,2002-10-31,82719885.0,113.0,28 Days Later,7.1,1777,Danny Boyle,2002,2002,6474624.791550862,107116043.63504724
